fraction,repeat,images,covered_km,coverage_pct
0.9,0,95188,184.63540652182255,41.64052514896711
0.9,1,95188,184.32914811120577,41.57145518405838
0.9,2,95188,184.88867876789945,41.69764522973046
0.9,3,95188,184.07909173016273,41.515060372144276
0.9,4,95188,184.53397902181098,41.61765036863873
0.9,5,95188,184.42859398260353,41.59388305088472
0.9,6,95188,184.726869194098,41.66115257778384
0.9,7,95188,184.51091383822018,41.61244851502098
0.9,8,95188,184.9240619510786,41.70562514190862
0.9,9,95188,184.56329346735816,41.624261608216386
1.0,0,105764,185.61019081234974,41.86036667627308
