name,osm_relation,zone_id,image_count,area_km2,eligible_km,covered_km,coverage_pct,image_density_per_km2,images_per_eligible_km
Rüstempaşa,7648837,Z039,4824,0.10344076712813839,3.957287024403223,3.328362719556314,84.10718502427167,46635.38500274478,1219.0169604206258
Mercan,7648838,Z040,595,0.08150538152299569,2.3498993543988598,1.085286566435431,46.18438506329408,7300.131462265819,253.20233348981455
Taya Hatun,7648839,Z041,138,0.05110157399106262,1.6592105205535288,0.4677691307262493,28.192271259839707,2700.503902759149,83.17208593516021
Beyazıt,7648840,Z042,617,0.11033494873955217,5.842245515873872,1.2349734220028319,21.138677220039884,5592.063140904163,105.61007720808021
Mimar Kemalettin,7648841,Z043,343,0.15130297898534395,4.762426480582105,1.2577982534615835,26.410869723449135,2266.9745321618875,72.02210919129519
Saraç İshak,7648842,Z044,83,0.06629597745658236,2.3036548257519396,0.12293108147062631,5.336349877438786,1251.9613283378649,36.02970335319565
Mimar Hayrettin,7648843,Z045,153,0.11056991102542382,4.1677479300997655,0.16004822398895027,3.8401608416159445,1383.7399214766488,36.71047351377067
Muhsine Hatun,7648845,Z046,733,0.12690878882985984,3.94387915109146,2.273209666705229,57.63892806086928,5775.801713644087,185.85762187899286
Şehsuvar Bey,7648846,Z047,1267,0.15106329660219356,5.538701416179936,3.161802273569233,57.085624156103,8387.212701550445,228.75398126694014
Emin Sinan,7648847,Z048,118,0.06604472972385018,2.3807841713412556,0.3122207277517261,13.114197057847171,1786.667921776469,49.56350156407612
Molla Fenari,7648848,Z049,863,0.14952436547570844,3.852404311042561,0.8886285069465193,23.06685475351971,5771.634591154323,224.01594700906398
Hobyar,7648849,Z050,4899,0.20198159547777966,6.3507581113931515,4.039516802115699,63.606843958816114,24254.68512817519,771.403966907711
Sultan Ahmet,7648850,Z051,1987,0.2028617566532842,5.173689898336756,3.6862712161495463,71.25033174745579,9794.847647878887,384.058580828121
Küçük Ayasofya,7648851,Z052,1360,0.25197238831595964,8.699058942728458,3.8239961819715895,43.958734009591545,5397.416792726646,156.33874985257157
Binbirdirek,7648852,Z053,1828,0.15825508062173754,3.906480480531135,1.4633212218423497,37.4588130962168,11550.971967650752,467.9403901056893
Alemdar,7648853,Z054,2044,0.13974981006006412,3.822982099978644,2.314426947548578,60.53983217869387,14626.137946960313,534.6611484294991
